afferenet,animal,use,popCode,dontUSE,figure,cell,treatment,treatment_text,treatment_class,Cancer,Chemotherapy,note,#NAME?,autoClass,manualClass,high_firing_Hz,receptiveField,Trial#,TrigStart.R,ms.F,Dyn.pfr,stat.halfHold,stat.firstSpikeHold,Stat.HzEnd,dyn.halfRamp,Stat.pps,Stat.avg,Stat.HzSTD,Dyn.IB,Thr.T,Thr.F,Thr.L,Stat.LSpkT,Stat.LSpkF,Dyn.spkNum,Stat.spkNum,Dyn.DI,Dyn.slp,Stat.slp,cond_delay
A100401_22_107_cell 4,A100401_22_107,0,,,,cell 4,1,wt,wt_ra1,0,0,,1,ra1,ra1,,,,57.097665,19.836105,61.637081,0.099755,0.099755,0.099755,0.099755,0.099607,0.099755,0,0,9977.333,-17.376541,0.239428,9927.333,2.459564,0,1,61.537325,0,,
A100401_22_107_cell 4,A100401_22_107,1,1,,,cell 4,1,wt,wt_ra1,0,0,,1,ra1,ra1,,,,77.106999,0.333807,67.640693,0.099737,0.099737,0.099737,0.099737,0.099562,0.099737,0,0,7.439,5.594538,0.333309,9998.607,1.031189,2,1,67.540956,0,,
A100401_22_107_cell 4,A100401_22_107,0,,,,cell 4,1,wt,wt_ra1,0,0,,1,ra1,ra1,,,,97.185999,0.307598,114.468864,0.099729,0.099729,0.099729,0.099729,0.099729,0.099729,0,0,13.607,11.952381,0.514637,9999.543,0.633697,2,1,114.369136,0,,
A100401_22_107_cell 5,A100401_22_107,0,,,,cell 5,1,wt,wt_ra1,0,0,,1,ra1,ra1,,,,53.178561,20.193653,23.355755,0.041606,0.041606,23.355755,0.041606,0.041606,0,0,0,19972.997,11.46849,-0.070268,-4112.235,12.562256,0,0,23.314149,0,,
A100401_22_107_cell 5,A100401_22_107,0,,,,cell 5,1,wt,wt_ra1,0,0,,1,ra1,ra1,,,,73.134999,0.836366,175.070028,0.049837,0.049837,175.070028,175.070028,0.049837,0,0,231.481481,16.559,30.825776,1.593246,-23.409,19.322968,3,0,175.020191,16017.09525,,
A100401_22_107_cell 5,A100401_22_107,1,,,,cell 5,1,wt,wt_ra1,0,0,,1,ra1,ra1,,,,93.213999,0.75543,0.049837,0.055903,0.055903,0.049837,0.055903,0.055903,0,0,0,13.031,16.404298,1.018866,-36.969,17.159729,1,0,-0.006066,0,,
A100401_22_112_cell 1,A100401_22_112,1,,,,cell 1,1,wt,wt_ra1,0,0,,1,ra1,ra1,,,,29.706,0.33738,0.115971,0.4382,0.881312,0.880418,0.881312,0.30167,0.614998,0.315493,0,52.454,19.396958,0.608469,7265.574,19.939423,1,4,-0.322228,0,-0.081641,
A100401_22_112_cell 1,A100401_22_112,0,,,,cell 1,1,wt,wt_ra1,0,0,,1,ra1,ra1,,,,43.836999,0.336826,2.234857,0.161824,1.32376,0.504122,1.32376,0.205339,0.663235,0.597086,0,55.343,19.209137,0.634103,8168.559,19.881475,1,3,2.073033,0,-0.188029,
A100401_22_112_cell 1,A100401_22_112,0,,,,cell 1,1,wt,wt_ra1,0,0,,1,ra1,ra1,,,,57.967998,0.246603,1.501069,1.019992,2.067414,2.480749,2.067414,1.674436,18.132442,21.446679,0,107.432,19.457218,0.679692,9491.016,19.515628,0,18,0.481077,0,0.734461,
A100401_22_117_cell 2.5,A100401_22_117,1,,,,cell 2.5,1,wt,wt_ra1,0,0,,1,ra1,ra1,,,,134.474104,12.842741,0.465581,0.070725,0.070725,0.465581,0.070725,0.070725,0,0,0,-0.002,4.506502,0.063468,-50.002,17.349243,1,0,0.394856,0,,2.26
A100401_22_117_cell 2.5,A100401_22_117,0,,,,cell 2.5,1,wt,wt_ra1,0,0,,1,ra1,ra1,,,,148.572,6.400129,0.070725,0.070742,0.070742,0.070725,0.070725,0.070742,0,0,0,41.366,13.639747,0.174456,-8.634,20.039876,1,0,-0.000017,0,,2.26
A100401_22_117_cell 2.5,A100401_22_117,0,,,,cell 2.5,1,wt,wt_ra1,0,0,,1,ra1,ra1,,,,162.703,6.399251,0.070742,0.052666,0.052666,0.070742,0.070742,0.052666,0,0,0,46.174,15.217368,0.19168,-3.826,21.616618,1,0,0.018076,0,,2.26
A100401_22_117_cell 3,A100401_22_117,1,,,,cell 3,1,wt,wt_ra1,0,0,,1,ra1,ra1,,,,226.428,6.38348,0.070754,0.070767,0.070767,0.070754,0.070754,0.070767,0,0,0,27.734,19.419133,0.239993,-22.266,25.802612,1,0,-0.000013,0,,2.2
A100401_22_117_cell 3,A100401_22_117,0,,,,cell 3,1,wt,wt_ra1,0,0,,1,ra1,ra1,,,,240.559,6.384065,0.070767,0.070728,0.070728,0.070767,0.070767,0.070728,0,0,0,27.598,18.874318,0.227569,-22.402,25.258383,1,0,0.000039,0,,2.2
A100401_22_117_cell 3,A100401_22_117,0,,,,cell 3,1,wt,wt_ra1,0,0,,1,ra1,ra1,,,,254.69,6.38639,0.070728,0,0,0.070728,0.070728,0,0,0,0,35.286,24.746627,0.332348,-14.714,31.133017,1,0,0.070728,0,,2.2
A100401_22_117_cell 4,A100401_22_117,0,,,,cell 4,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,130.32,-0.325411,152.068127,2.863295,169.376694,15.432099,651.041667,7.09824,30.165716,47.351223,694.444444,16.07,5.487968,1.043488,9907.638,17.995198,13,82,149.204832,-16530.46979,-6.286514,2.07
A100401_22_117_cell 4,A100401_22_117,0,,,,cell 4,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,144.451,-0.325118,192.901235,1.441753,143.678161,13.252757,408.496732,14.945002,24.787909,33.554039,548.245614,15.454,4.979049,1.009367,9946.574,17.990112,12,69,191.459481,-11838.41613,-4.828326,2.07
A100401_22_117_cell 4,A100401_22_117,1,,,,cell 4,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,158.582,-0.322305,219.298246,1.941235,202.265372,4.623465,365.497076,6.590741,32.308477,46.217811,534.188034,14.982,4.594766,0.991547,9889.846,17.995198,12,66,217.357011,-9823.495408,-5.456703,2.07
A100401_22_117_cell 7,A100401_22_117,1,1,,,cell 7,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,6.974,0.013902,224.014337,4.307077,212.585034,27.593819,212.585034,6.977004,34.209207,38.861845,301.932367,9.702,3.220962,0.183673,9889.798,18.391927,11,136,219.70726,-1892.841782,-5.716852,2.17
A100401_22_117_cell 7,A100401_22_117,0,,,,cell 7,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,21.105,0.014562,191.131498,8.157139,189.393939,52.876481,212.585034,16.378407,33.739419,37.186033,224.014337,10.334,3.484787,0.209586,9977.358,18.4021,10,133,182.974359,-639.204812,-6.177004,2.17
A100401_22_117_cell 7,A100401_22_117,0,,,,cell 7,1,wt,wt_sa1,0,0,,3,sa1,sa1,,,,35.236,0.017052,194.70405,15.558875,191.131498,14.966475,202.265372,5.855349,40.174128,47.925099,210.43771,11.782,4.250323,0.228212,9863.894,18.351237,9,122,179.145175,297.1085,-6.701086,2.17
A100401_22_117_cell 8,A100401_22_117,1,,,,cell 8,1,wt,wt_sa2,0,0,,4,sa2,sa2,,,,24.352,-0.108714,54.395126,13.363267,76.875769,14.000896,0.242403,0.242872,21.547134,10.040707,0,26.566,9.386058,0.395148,9989.414,17.552693,2,181,41.031859,2945.644207,-2.617938,13.9
A100401_22_117_cell 8,A100401_22_117,0,,,0,cell 8,1,wt,wt_sa2,0,0,,4,sa2,sa2,,,,38.483,-0.106446,53.282182,16.087516,68.082789,14.923591,0.242872,0.24165,20.305627,8.32406,0,25.806,9.154908,0.374249,9970.318,17.456055,2,178,37.194666,2826.050205,-2.164243,13.9
